Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PRB.DL.NsaDc.Used.Avg","L.ChMeas.PRB.UL.NsaDc.Used.Avg","L.NsaDc.Capable.5gUser.NoScg.BorderUE.Avg","L.NsaDc.Capable.5gUser.RRC.Avg","L.NsaDc.Capable.5gUser.RRC.Max","L.NsaDc.Capable.E-RAB.AttEst.QCI.1","L.NsaDc.Capable.E-RAB.SuccEst.QCI.1","L.NsaDc.Capable.User.RRC.Avg","L.NsaDc.Capable.User.RRC.Max","L.NsaDc.DRB.Add.Att","L.NsaDc.DRB.Add.Succ","L.NsaDc.E-RAB.AbnormRel","L.NsaDc.E-RAB.Mod.Ind.Att.E-RAB","L.NsaDc.E-RAB.Mod.Ind.Succ.E-RAB","L.NsaDc.E-RAB.NormRel","L.NsaDc.HHO.ExecAttOut","L.NsaDc.HHO.ExecSuccOut","L.NsaDc.MenbTrig.SgNB.NormRel","L.NsaDc.MenbTrig.SgNB.Rel","L.NsaDc.PCell.Change.Exec","L.NsaDc.PCell.Change.Succ","L.NsaDc.SgNB.Rmv.Att","L.Thrp.bits.DL.LastTTI.NsaDc","L.Thrp.bits.DL.NsaDc","L.Thrp.bits.DL.NsaDc.MCG","L.Thrp.bits.UL.NsaDc","L.Thrp.Time.DL.RmvLastTTI.NsaDc","L.Thrp.Time.UL.NsaDc","L.Traffic.User.NsaDc.PCell.Avg","L.Traffic.User.NsaDc.PCell.Max"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bit,bit,bit,bit,ms,ms,None,None
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=22, Cell Name=E_BJR001MT1_BANJARKOTA_MT02, eNodeB ID=150001, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0.199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=24, Cell Name=E_BJR001ME1_BANJARKOTA_TE02, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0.086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=25, Cell Name=E_BJR001MF1_BANJARKOTA_TF02, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0.033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=31, Cell Name=E_BJR001ML1_BANJARKOTA_ML03, eNodeB ID=150001, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,1.302,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=32, Cell Name=E_BJR001MT1_BANJARKOTA_MT03, eNodeB ID=150001, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=34, Cell Name=E_BJR001ME1_BANJARKOTA_TE03, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0.001,0.003,1,0,0,1.277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2929016,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=35, Cell Name=E_BJR001MF1_BANJARKOTA_TF03, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0.006,1,0,0,0.461,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653928,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=44, Cell Name=E_BJR001ME1_BANJARKOTA_TE04, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0.005,1,0,0,0.309,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137096,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=45, Cell Name=E_BJR001MF1_BANJARKOTA_TF04, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0.027,1,0,0,0.054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509336,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=54, Cell Name=E_BJR001ME1_BANJARKOTA_TE05, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
