Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.DL.PDSCH.WBBUsed.Avg","L.ChMeas.PRB.PUSCH.WBBUsed.Avg","L.ChMeas.PRB.UL.Avail","L.Thrp.bits.DL.LastTTI.WBB","L.Thrp.bits.DL.WBB","L.Thrp.bits.WBB.UL.Experienced","L.Thrp.Time.DL.RmvLastTTI.WBB","L.Thrp.Time.WBB.UL.Experienced","L.Traffic.ActiveUser.DL.WBB.Avg","L.Traffic.ActiveUser.UL.WBB.Avg","L.Traffic.User.WBB.Avg"
,Minutes,,,None,None,None,None,bit,bit,bit,ms,ms,None,None,None
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=21, Cell Name=E_PLR001ML1_Panenmas-TBG_ML02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,0,95,864,864,0,0,180,0,0,0.006
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=11, Cell Name=E_PLR001ML1_Panenmas-TBG_ML01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,0,95,0,0,16,0,25,0,0,0.001
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=33, Cell Name=E_PLR001MR1_Panenmas-TBG_MR03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,75,0,0,75,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=23, Cell Name=E_PLR001MR1_Panenmas-TBG_MR02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,75,0,0,75,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=13, Cell Name=E_PLR001MR1_Panenmas-TBG_MR01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,75,0.006,0.018,75,719936,3216528,900272,213,3403,0,0.001,0.178
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=31, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL03, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,0,95,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=21, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL02, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,0,95,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=11, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL01, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,0,95,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=35, Cell Name=E_JKS659HF1_TarakanitaBTSH-STP_HF03, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.178,0.028,100,27985336,247827600,4472952,6539,8442,0.003,0.002,0.031
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=25, Cell Name=E_JKS659HF1_TarakanitaBTSH-STP_HF02, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.001,0.003,100,26328,34456,31528,3,165,0,0,0.005
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=15, Cell Name=T_JKS659HF1_TarakanitaBTSH-STP_HF01, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=34, Cell Name=E_JKS659HE1_TarakanitaBTSH-STP_HE03, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,0,100,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=24, Cell Name=E_JKS659HE1_TarakanitaBTSH-STP_HE02, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.261,15.056,100,236409600,325382408,1687871408,2287,765318,0.113,0.212,2.343
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=14, Cell Name=T_JKS659HE1_TarakanitaBTSH-STP_HE01, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0
