Result Time,Granularity Period,Object Name,Reliability,"L.HHO.IntereNB.InterFreq.ExecAttOut","L.HHO.IntereNB.InterFreq.ExecSuccOut","L.HHO.IntereNB.InterFreq.Succ.ReEst2Src","L.HHO.IntraeNB.InterFreq.ExecAttOut","L.HHO.IntraeNB.InterFreq.ExecSuccOut","L.HHO.IntraeNB.InterFreq.Succ.ReEst2Src","L.IRATHO.E2W.ExecAttOut","L.IRATHO.E2W.ExecSuccOut","L.RRCRedirection.E2G","L.RRCRedirection.E2G.PrepAtt","L.RRCRedirection.E2W","L.RRCRedirection.E2W.PrepAtt"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=12, Cell Name=E_JKS106MT1_Ciranjang_MT01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,7,7,0,94,94,0,0,0,0,,7,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=11, Cell Name=E_JKS106ML1_Ciranjang_ML01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,53,53,0,381,381,0,0,0,0,,3,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=65, Cell Name=T_JKS106TF1_Ciranjang_TF06, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=55, Cell Name=T_JKS106TF1_Ciranjang_TF05, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=45, Cell Name=T_JKS106TF1_Ciranjang_TF04, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=64, Cell Name=T_JKS106TE1_Ciranjang_TE06, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=54, Cell Name=T_JKS106TE1_Ciranjang_TE05, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=44, Cell Name=T_JKS106TE1_Ciranjang_TE04, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=61, Cell Name=E_JKS106SL1_Ciranjang_SL03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,39,39,1,129,129,0,0,0,0,,4,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=32, Cell Name=E_PLR001MT1_Panenmas-TBG_MT03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,9,9,0,16,16,0,0,0,22,,0,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=22, Cell Name=E_PLR001MT1_Panenmas-TBG_MT02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,5,5,0,146,146,22,0,0,30,,0,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=12, Cell Name=E_PLR001MT1_Panenmas-TBG_MT01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,8,8,0,167,167,66,0,0,100,,8,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=31, Cell Name=E_PLR001ML1_Panenmas-TBG_ML03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,1,1,0,32,32,0,0,0,2,,0,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=21, Cell Name=E_PLR001ML1_Panenmas-TBG_ML02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,110,110,0,0,0,1,,0,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=11, Cell Name=E_PLR001ML1_Panenmas-TBG_ML01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,2,2,0,95,95,0,0,0,17,,0,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=33, Cell Name=E_PLR001MR1_Panenmas-TBG_MR03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,12,12,0,679,679,0,0,0,0,,0,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=23, Cell Name=E_PLR001MR1_Panenmas-TBG_MR02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,1,1,0,1015,1015,2,0,0,10,,0,
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=13, Cell Name=E_PLR001MR1_Panenmas-TBG_MR01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,61,61,0,836,836,0,0,0,11,,0,
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=31, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL03, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,2,2,0,0,0,0,0,0,0,,2,
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=21, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL02, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,16,16,0,14,14,0,0,0,0,,4,
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=11, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL01, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,3,3,0,2,2,0,0,0,0,,3,
