Result Time,Granularity Period,Object Name,Reliability,"L.E-RAB.AttEst.QCI.1","L.E-RAB.Est.TimeAvg","L.E-RAB.FailEst.X2AP.VoIP","L.E-RAB.InitEst.TimeAvg","L.E-RAB.SuccEst.QCI.1","L.RRC.ConnReq.Att.Emc","L.RRC.ConnReq.Att.HighPri","L.RRC.ConnReq.Att.MoData","L.RRC.ConnReq.Att.Mt","L.RRC.ConnReq.Msg","L.RRC.ConnReq.Succ.Emc","L.RRC.ConnReq.Succ.HighPri","L.RRC.ConnReq.Succ.MoData","L.RRC.ConnReq.Succ.Mt","L.RRC.ConnSetup.TimeAvg","L.RRC.ReEst.Att"
,Minutes,,,None,ms,None,ms,None,None,None,None,None,None,None,None,None,None,ms,None
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=12, Cell Name=E_PLR001MT1_Panenmas-TBG_MT01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,154,0,174,0,0,0,352,167,1166,0,0,349,166,109,204
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=31, Cell Name=E_PLR001ML1_Panenmas-TBG_ML03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,89,0,93,0,0,0,171,63,261,0,0,171,61,50,10
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=21, Cell Name=E_PLR001ML1_Panenmas-TBG_ML02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,70,0,74,0,0,0,92,63,197,0,0,92,63,37,2
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=11, Cell Name=E_PLR001ML1_Panenmas-TBG_ML01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,87,0,94,0,0,0,298,246,626,0,0,295,246,42,10
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=33, Cell Name=E_PLR001MR1_Panenmas-TBG_MR03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,58,0,60,0,0,1,1035,838,2147,0,0,1035,838,27,15
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=23, Cell Name=E_PLR001MR1_Panenmas-TBG_MR02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,65,0,68,0,0,6,1447,1149,2902,0,6,1447,1149,27,7
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=13, Cell Name=E_PLR001MR1_Panenmas-TBG_MR01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,0,66,0,67,0,0,10,1690,1583,3817,0,10,1690,1583,30,17
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=31, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL03, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,0,78,0,85,0,0,9,22,17,63,0,2,22,17,29,12
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=21, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL02, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,0,57,0,58,0,0,0,165,70,294,0,0,165,70,31,5
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=11, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL01, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,0,95,0,99,0,0,2,167,88,294,0,2,167,88,45,12
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=35, Cell Name=E_JKS659HF1_TarakanitaBTSH-STP_HF03, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,0,71,0,79,0,0,49,131,93,287,0,49,131,93,25,5
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=25, Cell Name=E_JKS659HF1_TarakanitaBTSH-STP_HF02, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,0,61,0,64,0,0,3,541,263,886,0,3,539,262,24,2
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=15, Cell Name=T_JKS659HF1_TarakanitaBTSH-STP_HF01, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=34, Cell Name=E_JKS659HE1_TarakanitaBTSH-STP_HE03, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,0,69,0,71,0,0,15,268,242,561,0,15,268,242,26,4
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=24, Cell Name=E_JKS659HE1_TarakanitaBTSH-STP_HE02, eNodeB ID=133659, Cell FDD TDD indication=CELL_TDD",Reliable,0,57,0,57,0,0,16,743,195,1088,0,16,743,195,22,8
