Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.ChMeas.PDSCH.MCS.0","L.ChMeas.PDSCH.MCS.1","L.ChMeas.PDSCH.MCS.10","L.ChMeas.PDSCH.MCS.11","L.ChMeas.PDSCH.MCS.12","L.ChMeas.PDSCH.MCS.13","L.ChMeas.PDSCH.MCS.14","L.ChMeas.PDSCH.MCS.15","L.ChMeas.PDSCH.MCS.16","L.ChMeas.PDSCH.MCS.17","L.ChMeas.PDSCH.MCS.18","L.ChMeas.PDSCH.MCS.19","L.ChMeas.PDSCH.MCS.2","L.ChMeas.PDSCH.MCS.20","L.ChMeas.PDSCH.MCS.21","L.ChMeas.PDSCH.MCS.22","L.ChMeas.PDSCH.MCS.23","L.ChMeas.PDSCH.MCS.24","L.ChMeas.PDSCH.MCS.25","L.ChMeas.PDSCH.MCS.26","L.ChMeas.PDSCH.MCS.27","L.ChMeas.PDSCH.MCS.28","L.ChMeas.PDSCH.MCS.29","L.ChMeas.PDSCH.MCS.3","L.ChMeas.PDSCH.MCS.30","L.ChMeas.PDSCH.MCS.31","L.ChMeas.PDSCH.MCS.4","L.ChMeas.PDSCH.MCS.5","L.ChMeas.PDSCH.MCS.6","L.ChMeas.PDSCH.MCS.7","L.ChMeas.PDSCH.MCS.8","L.ChMeas.PDSCH.MCS.9","L.ChMeas.RI.Rank1","L.ChMeas.RI.Rank2","L.ChMeas.RI.Rank3","L.ChMeas.RI.Rank4"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=32, Cell Name=E_JKS428MT1_Masjidgglimo_MT03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,5590871,845184,89874,0,14932,24320,0,6154,7907,7240,9907,10635,13510,0,12761,11326,2026,11052,9737,8801,5262,2743,1932,1742,3138,7063,30069,2412,8490,11402,3573,3567,4508,5162,5949,7004,242211,138295,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=22, Cell Name=E_JKS428MT1_Masjidgglimo_MT02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,4079167,2024888,13880,0,7343,19039,0,7616,10597,10732,11607,8823,9757,0,10979,10690,1940,9282,7497,6695,5495,4021,2527,1711,1222,1123,20418,2065,11104,10002,2930,3635,5184,6202,6342,7304,231542,63210,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=12, Cell Name=E_JKS428MT1_Masjidgglimo_MT01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,13120516,4285472,38925,0,12250,55875,1,27979,37504,40557,50940,56984,69945,4,71404,68613,3881,71922,70637,77562,64384,52193,40179,31354,27054,12891,23432,5547,42810,82941,8387,11397,17594,24343,26415,31947,843567,446294,0,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=35, Cell Name=T_JKS106TF1_Ciranjang_TF03, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=34, Cell Name=T_JKS106TE1_Ciranjang_TE03, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=33, Cell Name=E_JKS106MR1_Ciranjang_MR03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,1384771,2625235,122454,0,17366,5574,0,2782,4049,5397,7226,9841,11159,0,11982,13548,216,14578,20394,64454,12676,10857,7307,3648,2528,2579,4987,333,7696,37285,333,474,819,1380,1793,2495,77552,250709,66798,16818
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=32, Cell Name=E_JKS106MT1_Ciranjang_MT03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,4103930,3566170,15566,0,5102,21778,0,9251,11060,13234,18317,17427,23658,0,29738,35336,1796,37339,38303,38617,32697,26374,18271,13902,18628,16206,9038,2307,12508,50045,3479,3974,4609,5264,7625,7367,345676,264262,0,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=31, Cell Name=E_JKS106ML1_Ciranjang_ML03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,13486526,9342426,30210,0,17651,57256,0,44563,56823,63712,73148,65776,66571,0,70969,67243,9385,65926,55238,44191,29954,21487,13150,8509,7623,18954,42062,11152,62783,80307,14070,16588,22692,30242,33837,40315,282275,742443,0,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=25, Cell Name=T_JKS106TF1_Ciranjang_TF02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=24, Cell Name=T_JKS106TE1_Ciranjang_TE02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
